# Time X0 Y0 Z0 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3 X4 Y4 Z4
0.00000000 1.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000 1.00000000 0.00000000 0.00000000
0.01000000 0.98839331 -0.09917010 0.00000000 0.99017870 -0.07938370 0.00000000 0.99156773 -0.05956557 0.00000000 0.99256098 -0.03972363 0.00000000 0.99315655 -0.01986579 0.00000000
0.02000000 0.96708632 -0.19603810 0.00000000 0.97415155 -0.15720801 0.00000000 0.97965860 -0.11812664 0.00000000 0.98359883 -0.07885623 0.00000000 0.98596579 -0.03945969 0.00000000
0.03000000 0.93641996 -0.28966856 0.00000000 0.95210445 -0.23299587 0.00000000 0.96436262 -0.17548461 0.00000000 0.97314990 -0.11734175 0.00000000 0.97843510 -0.05877663 0.00000000
0.04000000 0.89682394 -0.37917122 0.00000000 0.92425716 -0.30628884 0.00000000 0.94577783 -0.23144768 0.00000000 0.96124887 -0.15512587 0.00000000 0.97057158 -0.07781181 0.00000000
0.05000000 0.84881204 -0.46370798 0.00000000 0.89086521 -0.37665173 0.00000000 0.92401689 -0.28583202 0.00000000 0.94793653 -0.19215621 0.00000000 0.96238375 -0.09656049 0.00000000
0.06000000 0.79297394 -0.54250252 0.00000000 0.85221493 -0.44367239 0.00000000 0.89919996 -0.33846128 0.00000000 0.93325102 -0.22838214 0.00000000 0.95388025 -0.11501819 0.00000000
0.07000000 0.72996950 -0.61484516 0.00000000 0.80862474 -0.50696683 0.00000000 0.87145668 -0.38916877 0.00000000 0.91723645 -0.26375535 0.00000000 0.94506788 -0.13318068 0.00000000
0.08000001 0.66052252 -0.68009955 0.00000000 0.76043820 -0.56617934 0.00000000 0.84092760 -0.43779632 0.00000000 0.89993620 -0.29822922 0.00000000 0.93595493 -0.15104388 0.00000000
0.09000000 0.58541030 -0.73770958 0.00000000 0.70802373 -0.62098509 0.00000000 0.80775970 -0.48419493 0.00000000 0.88139480 -0.33175942 0.00000000 0.92654943 -0.16860375 0.00000000
0.10000000 0.50545675 -0.78720236 0.00000000 0.65177399 -0.67109162 0.00000000 0.77210677 -0.52822691 0.00000000 0.86165947 -0.36430362 0.00000000 0.91685879 -0.18585649 0.00000000
0.11000001 0.42152289 -0.82819128 0.00000000 0.59209889 -0.71624058 0.00000000 0.73413265 -0.56976396 0.00000000 0.84077787 -0.39582166 0.00000000 0.90689272 -0.20279884 0.00000000
0.12000000 0.33449835 -0.86038035 0.00000000 0.52942562 -0.75620902 0.00000000 0.69400400 -0.60868853 0.00000000 0.81879991 -0.42627615 0.00000000 0.89665788 -0.21942714 0.00000000
0.13000001 0.24529171 -0.88356602 0.00000000 0.46419525 -0.79080969 0.00000000 0.65189534 -0.64489502 0.00000000 0.79577559 -0.45563051 0.00000000 0.88616240 -0.23573838 0.00000000
